dac_v,adc_a,adc_b,i_feed,q_feed
-8.499999999999999778e-01,1.002200000000000035e-01,-8.703600000000000225e-02,1.046139999999999987e-01,-8.715799999999999936e-02
-8.479999999999999760e-01,9.680199999999999916e-02,-7.446300000000000141e-02,9.729000000000000148e-02,-7.446300000000000141e-02
-8.459999999999999742e-01,1.146240000000000037e-01,-5.908200000000000257e-02,1.108399999999999941e-01,-5.908200000000000257e-02
-8.439999999999999725e-01,1.420899999999999941e-01,-5.688499999999999807e-02,1.431880000000000097e-01,-5.871599999999999736e-02
-8.419999999999999707e-01,1.518549999999999900e-01,-2.917499999999999954e-02,1.459959999999999869e-01,-2.929700000000000013e-02
-8.399999999999999689e-01,1.544190000000000007e-01,-3.283699999999999813e-02,1.521000000000000130e-01,-3.210400000000000059e-02
-8.379999999999999671e-01,1.623539999999999983e-01,4.638999999999999894e-03,1.602780000000000038e-01,2.563000000000000174e-03
-8.359999999999999654e-01,1.678469999999999962e-01,1.587000000000000086e-03,1.607669999999999932e-01,3.906000000000000184e-03
-8.339999999999999636e-01,1.589359999999999939e-01,5.249000000000000193e-03,1.525880000000000014e-01,5.615000000000000199e-03
-8.319999999999999618e-01,1.610109999999999875e-01,3.906199999999999950e-02,1.551510000000000111e-01,3.894000000000000239e-02
-8.299999999999999600e-01,1.552729999999999944e-01,4.968299999999999800e-02,1.502690000000000137e-01,5.004900000000000321e-02
-8.279999999999999583e-01,1.492920000000000080e-01,6.396499999999999408e-02,1.477050000000000030e-01,6.359900000000000275e-02
-8.259999999999999565e-01,1.411129999999999884e-01,8.190899999999999570e-02,1.376950000000000118e-01,8.068799999999999584e-02
-8.239999999999999547e-01,1.308590000000000031e-01,8.544899999999999718e-02,1.318360000000000087e-01,8.789099999999999691e-02
-8.219999999999999529e-01,1.220699999999999980e-01,8.459500000000000353e-02,1.236570000000000030e-01,8.386200000000000598e-02
-8.199999999999999512e-01,1.114499999999999935e-01,9.594700000000000450e-02,1.159670000000000006e-01,9.753399999999999570e-02
-8.179999999999999494e-01,1.118159999999999987e-01,9.802199999999999802e-02,1.147460000000000008e-01,9.973100000000000021e-02
-8.159999999999999476e-01,1.011959999999999943e-01,1.049800000000000039e-01,9.435999999999999943e-02,1.052249999999999991e-01
-8.139999999999999458e-01,1.029049999999999965e-01,1.132810000000000067e-01,9.680199999999999916e-02,1.124269999999999992e-01
-8.120000000000000551e-01,8.581500000000000239e-02,1.013180000000000053e-01,9.106400000000000605e-02,1.035159999999999969e-01
-8.100000000000000533e-01,8.532700000000000007e-02,1.049800000000000039e-01,9.265099999999999725e-02,1.070559999999999984e-01
-8.080000000000000515e-01,7.788100000000000578e-02,1.054689999999999933e-01,8.093300000000000494e-02,1.058349999999999985e-01
-8.060000000000000497e-01,8.215300000000000380e-02,1.083979999999999944e-01,7.995599999999999929e-02,1.099849999999999994e-01
-8.040000000000000480e-01,7.690400000000000014e-02,1.073000000000000065e-01,8.019999999999999352e-02,1.043700000000000044e-01
-8.020000000000000462e-01,7.983400000000000218e-02,1.019290000000000057e-01,8.618199999999999472e-02,1.000980000000000064e-01
