dac_v,adc_a,adc_b,i_feed,q_feed
-9.379999999999999449e-01,-2.123999999999999846e-02,-2.648899999999999866e-02,-2.368200000000000166e-02,-2.722199999999999967e-02
-9.360000000000000542e-01,-1.953099999999999975e-02,-6.591999999999999769e-03,-2.026400000000000076e-02,-4.150000000000000043e-03
-9.340000000000000524e-01,-1.757799999999999987e-02,-4.760999999999999607e-03,-1.916500000000000148e-02,-7.934999999999999346e-03
-9.320000000000000506e-01,-2.294900000000000065e-02,-9.520999999999999949e-03,-1.989700000000000149e-02,-5.249000000000000193e-03
-9.300000000000000488e-01,-2.136199999999999904e-02,-1.403800000000000013e-02,-1.965300000000000033e-02,-1.354999999999999954e-02
-9.280000000000000471e-01,-2.404799999999999993e-02,-3.002900000000000014e-02,-1.940899999999999917e-02,-2.990699999999999956e-02
-9.260000000000000453e-01,-1.843300000000000147e-02,-2.587899999999999923e-02,-2.209500000000000006e-02,-2.465799999999999936e-02
-9.240000000000000435e-01,-2.148399999999999962e-02,-2.917499999999999954e-02,-1.855499999999999858e-02,-2.929700000000000013e-02
-9.220000000000000417e-01,-2.075199999999999961e-02,-2.465799999999999936e-02,-2.563500000000000154e-02,-2.502400000000000110e-02
-9.200000000000000400e-01,-1.855499999999999858e-02,-2.429200000000000109e-02,-2.441400000000000167e-02,-2.417000000000000051e-02
-9.180000000000000382e-01,-2.014200000000000018e-02,-2.697799999999999851e-02,-1.855499999999999858e-02,-2.807600000000000026e-02
-9.160000000000000364e-01,-2.453599999999999878e-02,-2.612300000000000039e-02,-2.014200000000000018e-02,-2.453599999999999878e-02
-9.140000000000000346e-01,-1.806599999999999873e-02,-2.356000000000000108e-02,-2.062999999999999903e-02,-2.368200000000000166e-02
-9.120000000000000329e-01,-1.892100000000000032e-02,-2.343800000000000050e-02,-2.050799999999999845e-02,-2.368200000000000166e-02
-9.100000000000000311e-01,-2.136199999999999904e-02,-2.807600000000000026e-02,-1.855499999999999858e-02,-2.648899999999999866e-02
-9.080000000000000293e-01,-1.770000000000000046e-02,-2.307100000000000123e-02,-2.172899999999999832e-02,-2.246099999999999833e-02
-9.060000000000000275e-01,-2.136199999999999904e-02,-2.795399999999999968e-02,-1.867699999999999916e-02,-2.770999999999999852e-02
-9.040000000000000258e-01,-1.770000000000000046e-02,-2.465799999999999936e-02,-1.672399999999999928e-02,-2.551300000000000096e-02
-9.020000000000000240e-01,-2.270499999999999949e-02,-2.575699999999999865e-02,-1.770000000000000046e-02,-2.697799999999999851e-02
-9.000000000000000222e-01,-1.892100000000000032e-02,-2.160600000000000021e-02,-1.928699999999999859e-02,-1.940899999999999917e-02
-8.980000000000000204e-01,-1.599099999999999827e-02,-1.794400000000000162e-02,-2.123999999999999846e-02,-1.733399999999999871e-02
-8.960000000000000187e-01,-1.574700000000000058e-02,-1.672399999999999928e-02,-1.574700000000000058e-02,-1.965300000000000033e-02
-8.940000000000000169e-01,-1.464799999999999956e-02,-1.818799999999999931e-02,-1.684599999999999986e-02,-2.001999999999999960e-02
-8.920000000000000151e-01,-1.550299999999999942e-02,-2.123999999999999846e-02,-1.464799999999999956e-02,-2.075199999999999961e-02
-8.900000000000000133e-01,-1.660199999999999870e-02,-1.525899999999999999e-02,-1.513699999999999941e-02,-1.501500000000000057e-02
-8.880000000000000115e-01,-2.123999999999999846e-02,-2.136199999999999904e-02,-2.380399999999999877e-02,-2.160600000000000021e-02
-8.860000000000000098e-01,-2.148399999999999962e-02,-2.062999999999999903e-02,-2.197299999999999948e-02,-2.209500000000000006e-02
-8.840000000000000080e-01,-2.331499999999999892e-02,-2.343800000000000050e-02,-1.892100000000000032e-02,-2.172899999999999832e-02
-8.820000000000000062e-01,-1.806599999999999873e-02,-1.416000000000000071e-02,-1.709000000000000102e-02,-1.586900000000000116e-02
-8.800000000000000044e-01,-1.989700000000000149e-02,-2.966299999999999840e-02,-2.270499999999999949e-02,-2.832000000000000142e-02
-8.780000000000000027e-01,-1.843300000000000147e-02,-1.904300000000000090e-02,-1.696800000000000044e-02,-1.892100000000000032e-02
-8.760000000000000009e-01,-1.940899999999999917e-02,-1.599099999999999827e-02,-1.867699999999999916e-02,-1.281700000000000027e-02
-8.739999999999999991e-01,-1.757799999999999987e-02,3.295999999999999885e-03,-2.172899999999999832e-02,6.348000000000000344e-03
-8.719999999999999973e-01,-2.099600000000000077e-02,-7.320000000000000118e-04,-1.635700000000000001e-02,-2.318999999999999881e-03
-8.699999999999999956e-01,-2.160600000000000021e-02,-2.050799999999999845e-02,-2.111800000000000135e-02,-2.172899999999999832e-02
