freq_hz,adc_b
1.037629322183904471e+06,1.649813383839248308e-06
1.041444135868404177e+06,1.972338943623792936e-07
1.045258949552903767e+06,2.256725361358118296e-07
1.049073763237403473e+06,4.281901888726485442e-06
1.052888576921903063e+06,8.394784425163181121e-06
1.056703390606402652e+06,1.743757991807510982e-07
1.060518204290902475e+06,2.312884948751564232e-06
1.064333017975402065e+06,1.581420785133343233e-06
1.068147831659901654e+06,1.090170443777310228e-05
1.071962645344401244e+06,1.665244301594938828e-06
1.075777459028901067e+06,2.931145655552979425e-06
1.079592272713400656e+06,1.476156253798609944e-06
1.083407086397900246e+06,4.947394083451058048e-07
1.087221900082399836e+06,4.587679160093056979e-07
1.091036713766899658e+06,1.393768047602574291e-06
1.094851527451399248e+06,2.570490083397649233e-08
1.098666341135898838e+06,1.504553944667396499e-06
1.102481154820398428e+06,8.514426844541078641e-07
1.106295968504898250e+06,5.415618107002530100e-06
1.110110782189397840e+06,1.979720949512053807e-06
1.113925595873897430e+06,1.469866028018198619e-06
1.117740409558397019e+06,5.925178620614827744e-07
1.121555223242896842e+06,1.651239094199397383e-06
1.125370036927396432e+06,6.337346598635318889e-07
1.129184850611896021e+06,9.680748618734121639e-07
1.132999664296395611e+06,3.529938192970583948e-07
1.136814477980895434e+06,2.300681898837578824e-06
1.140629291665395023e+06,3.642713019502305551e-06
1.144444105349894613e+06,4.242549050899767720e-07
1.148258919034394203e+06,1.158319934315565391e-06
1.152073732718894025e+06,1.526989378363707276e-07
1.155888546403393615e+06,1.918000980801685613e-06
1.159703360087893205e+06,1.676210196923137027e-06
1.163518173772392794e+06,1.426314141475549077e-07
1.167332987456892617e+06,8.443982860104345396e-08
1.171147801141392207e+06,2.444254702830438562e-06
1.174962614825891796e+06,3.177457044547418861e-06
1.178777428510391386e+06,1.365339183824841501e-07
1.182592242194891209e+06,1.328655912286340581e-06
1.186407055879390799e+06,1.697787871501674762e-06
1.190221869563890388e+06,1.196367043786606337e-06
1.194036683248389978e+06,1.401825298197102810e-06
1.197851496932889801e+06,4.329551647081644294e-06
1.201666310617389390e+06,3.229766702902046992e-07
1.205481124301888980e+06,9.964825001559285511e-07
1.209295937986388570e+06,6.819917045168296149e-07
1.213110751670888392e+06,4.974079294234124998e-06
1.216925565355387982e+06,2.272540119698279775e-06
1.220740379039887572e+06,6.544319269385926192e-08
1.224555192724387394e+06,8.797265348656832400e-08
1.228370006408886984e+06,3.680591503798393408e-07
1.232184820093386574e+06,7.113483855941592466e-07
1.235999633777886163e+06,4.789966245484277046e-07
1.239814447462385986e+06,1.031295792292348510e-06
1.243629261146885576e+06,4.510183000601459237e-06
1.247444074831385165e+06,3.643621171432739999e-07
1.251258888515884755e+06,6.818840013589043685e-06
1.255073702200384578e+06,3.125942636008750358e-06
1.258888515884884167e+06,2.454923184045589667e-06
1.262703329569383757e+06,9.160910211726573338e-07
1.266518143253883347e+06,1.683837726256036175e-06
1.270332956938383169e+06,2.454745347601789000e-07
1.274147770622882759e+06,5.633280118237602066e-06
1.277962584307382349e+06,3.383197558278297224e-06
1.281777397991881939e+06,1.299902058191674756e-06
1.285592211676381761e+06,1.871895134744615392e-07
1.289407025360881351e+06,1.175820018561962881e-05
1.293221839045380941e+06,1.075461513811262148e-05
1.297036652729880530e+06,4.802848315911983459e-06
1.300851466414380353e+06,6.184380651665068922e-06
1.304666280098879943e+06,3.730953652179948709e-06
1.308481093783379532e+06,3.436996296363483850e-06
1.312295907467879122e+06,1.611920453294931271e-05
1.316110721152378945e+06,1.383578009250736929e-05
1.319925534836878534e+06,3.909325207006269202e-05
1.323740348521378124e+06,4.272339891600909610e-05
1.327555162205877714e+06,2.256526227997288493e-04
1.331369975890377536e+06,1.521938417309238404e-03
1.335184789574877126e+06,1.345419784972558134e-03
1.338999603259376716e+06,1.174125686486687548e-04
1.342814416943876306e+06,6.952337588174297247e-05
1.346629230628376128e+06,3.098760349355770541e-05
1.350444044312875718e+06,1.445884023035375483e-05
1.354258857997375308e+06,7.046449632693779738e-06
1.358073671681874897e+06,9.025176400251043994e-06
1.361888485366374720e+06,3.773848080854336599e-06
1.365703299050874310e+06,7.567932490822972035e-06
1.369518112735373899e+06,9.362109469343211874e-06
1.373332926419873489e+06,7.514320023175808988e-06
1.377147740104373312e+06,1.327595269114753370e-06
1.380962553788872901e+06,5.299456132102128820e-06
1.384777367473372491e+06,2.549612380981112468e-06
1.388592181157872081e+06,6.933762838967736290e-07
1.392406994842371903e+06,3.143698941220273925e-07
1.396221808526871493e+06,3.229810043613655556e-06
1.400036622211371083e+06,1.788512692853655994e-07
1.403851435895870673e+06,5.168425334511556370e-06
1.407666249580370495e+06,3.761205708443190974e-06
1.411481063264870085e+06,6.719712435534250271e-07
1.415295876949369675e+06,9.103815260117411538e-07
1.419110690633869264e+06,4.389860788776522274e-06
1.422925504318369087e+06,9.086949067956548948e-08
1.426740318002868677e+06,5.284341554298832511e-06
1.430555131687368266e+06,2.240428085883188860e-06
1.434369945371867856e+06,1.064602867217745133e-06
1.438184759056367679e+06,1.115251349958623987e-06
1.441999572740867268e+06,2.337723254936079770e-06
1.445814386425366858e+06,1.502343228610482375e-06
1.449629200109866448e+06,1.294026100228369653e-06
1.453444013794366270e+06,1.607897594615932553e-06
1.457258827478865860e+06,2.928486117262410420e-07
1.461073641163365450e+06,6.005980996351732030e-08
1.464888454847865272e+06,2.894116836562476505e-06
1.468703268532364862e+06,1.121299785884940136e-06
1.472518082216864452e+06,1.602670329127974363e-06
1.476332895901364041e+06,1.512501303218543910e-06
1.480147709585863864e+06,4.499974753272756160e-07
1.483962523270363454e+06,7.830613417584481433e-07
1.487777336954863044e+06,2.825253603993296390e-07
1.491592150639362633e+06,5.888734790887022685e-07
1.495406964323862456e+06,2.016763965312479664e-07
1.499221778008362046e+06,2.412917634275928742e-07
1.503036591692861635e+06,5.878947249162109114e-07
1.506851405377361225e+06,1.060975324902642295e-06
1.510666219061861048e+06,8.028477160346008384e-08
1.514481032746360637e+06,2.776090511277271232e-07
